model,lang_id,group,layer,n_layers,cos_mean,n_samples
whisper-large-v3,mt_mt,?,25,32,0.908093,264
whisper-large-v3,mt_mt,?,26,32,0.913962,264
whisper-large-v3,mt_mt,?,27,32,0.892726,264
whisper-large-v3,mt_mt,?,28,32,0.870188,264
whisper-large-v3,mt_mt,?,29,32,0.885312,264
whisper-large-v3,mt_mt,?,30,32,0.885224,264
whisper-large-v3,mt_mt,?,31,32,0.878531,264
whisper-large-v3,mt_mt,?,32,32,0.886276,264
whisper-large-v3,ln_cd,tonal_low,1,32,0.968243,264
whisper-large-v3,ln_cd,tonal_low,2,32,0.921314,264
whisper-large-v3,ln_cd,tonal_low,3,32,0.945667,264
whisper-large-v3,ln_cd,tonal_low,4,32,0.937803,264
whisper-large-v3,ln_cd,tonal_low,5,32,0.926279,264
whisper-large-v3,ln_cd,tonal_low,6,32,0.950547,264
whisper-large-v3,ln_cd,tonal_low,7,32,0.937418,264
whisper-large-v3,ln_cd,tonal_low,8,32,0.909663,264
whisper-large-v3,ln_cd,tonal_low,9,32,0.916773,264
whisper-large-v3,ln_cd,tonal_low,10,32,0.902794,264
whisper-large-v3,ln_cd,tonal_low,11,32,0.95504,264
whisper-large-v3,ln_cd,tonal_low,12,32,0.932844,264
whisper-large-v3,ln_cd,tonal_low,13,32,0.921318,264
whisper-large-v3,ln_cd,tonal_low,14,32,0.953689,264
whisper-large-v3,ln_cd,tonal_low,15,32,0.92738,264
whisper-large-v3,ln_cd,tonal_low,16,32,0.950049,264
whisper-large-v3,ln_cd,tonal_low,17,32,0.953865,264
whisper-large-v3,ln_cd,tonal_low,18,32,0.933599,264
whisper-large-v3,ln_cd,tonal_low,19,32,0.94842,264
whisper-large-v3,ln_cd,tonal_low,20,32,0.945728,264
whisper-large-v3,ln_cd,tonal_low,21,32,0.950484,264
whisper-large-v3,ln_cd,tonal_low,22,32,0.939831,264
